Pessoa_ID,Tempo de Casa Categoria Python
598,4. 2 Anos
599,5. 3 Anos
600,6. 4 Anos
601,3. 1 Ano
602,4. 2 Anos
603,3. 1 Ano
604,2. Mais de 6 meses
605,6. 4 Anos
606,2. Mais de 6 meses
607,4. 2 Anos
608,3. 1 Ano
609,3. 1 Ano
610,4. 2 Anos
611,3. 1 Ano
612,4. 2 Anos
613,7. 5 Anos ou Mais
614,4. 2 Anos
615,5. 3 Anos
616,1. Menos de 6 meses
617,5. 3 Anos
618,6. 4 Anos
619,2. Mais de 6 meses
620,4. 2 Anos
621,5. 3 Anos
622,2. Mais de 6 meses
623,3. 1 Ano
624,2. Mais de 6 meses
625,1. Menos de 6 meses
626,2. Mais de 6 meses
627,5. 3 Anos
628,5. 3 Anos
629,3. 1 Ano
630,3. 1 Ano
631,3. 1 Ano
632,3. 1 Ano
633,5. 3 Anos
634,5. 3 Anos
635,2. Mais de 6 meses
636,3. 1 Ano
637,3. 1 Ano
638,2. Mais de 6 meses
639,3. 1 Ano
640,2. Mais de 6 meses
641,4. 2 Anos
642,5. 3 Anos
643,4. 2 Anos
644,2. Mais de 6 meses
645,3. 1 Ano
646,3. 1 Ano
647,3. 1 Ano
648,1. Menos de 6 meses
649,6. 4 Anos
650,3. 1 Ano
651,5. 3 Anos
652,5. 3 Anos
653,6. 4 Anos
654,5. 3 Anos
655,3. 1 Ano
656,4. 2 Anos
657,6. 4 Anos
658,3. 1 Ano
659,4. 2 Anos
660,4. 2 Anos
661,5. 3 Anos
662,6. 4 Anos
663,6. 4 Anos
664,5. 3 Anos
665,3. 1 Ano
666,2. Mais de 6 meses
667,4. 2 Anos
668,3. 1 Ano
669,3. 1 Ano
670,3. 1 Ano
671,4. 2 Anos
672,6. 4 Anos
673,2. Mais de 6 meses
674,5. 3 Anos
675,1. Menos de 6 meses
676,3. 1 Ano
677,4. 2 Anos
678,4. 2 Anos
679,4. 2 Anos
680,3. 1 Ano
681,5. 3 Anos
682,4. 2 Anos
683,5. 3 Anos
684,2. Mais de 6 meses
685,1. Menos de 6 meses
686,2. Mais de 6 meses
687,1. Menos de 6 meses
688,5. 3 Anos
689,4. 2 Anos
690,2. Mais de 6 meses
691,4. 2 Anos
692,4. 2 Anos
693,1. Menos de 6 meses
694,2. Mais de 6 meses
695,3. 1 Ano
696,5. 3 Anos
697,3. 1 Ano
698,6. 4 Anos
699,3. 1 Ano
700,3. 1 Ano
701,3. 1 Ano
702,3. 1 Ano
703,4. 2 Anos
704,6. 4 Anos
705,4. 2 Anos
706,3. 1 Ano
707,4. 2 Anos
708,2. Mais de 6 meses
709,4. 2 Anos
710,5. 3 Anos
711,3. 1 Ano
712,6. 4 Anos
713,3. 1 Ano
714,6. 4 Anos
715,3. 1 Ano
716,7. 5 Anos ou Mais
717,6. 4 Anos
718,2. Mais de 6 meses
719,4. 2 Anos
720,5. 3 Anos
721,4. 2 Anos
722,4. 2 Anos
723,7. 5 Anos ou Mais
724,2. Mais de 6 meses
725,5. 3 Anos
726,2. Mais de 6 meses
727,1. Menos de 6 meses
728,4. 2 Anos
729,3. 1 Ano
730,3. 1 Ano
731,1. Menos de 6 meses
732,2. Mais de 6 meses
733,7. 5 Anos ou Mais
734,2. Mais de 6 meses
735,4. 2 Anos
736,5. 3 Anos
737,4. 2 Anos
738,3. 1 Ano
739,3. 1 Ano
740,2. Mais de 6 meses
741,3. 1 Ano
742,2. Mais de 6 meses
743,1. Menos de 6 meses
744,3. 1 Ano
745,3. 1 Ano
746,3. 1 Ano
747,4. 2 Anos
748,1. Menos de 6 meses
749,5. 3 Anos
750,2. Mais de 6 meses
751,3. 1 Ano
752,4. 2 Anos
753,5. 3 Anos
754,3. 1 Ano
755,3. 1 Ano
756,2. Mais de 6 meses
757,2. Mais de 6 meses
758,3. 1 Ano
759,1. Menos de 6 meses
760,2. Mais de 6 meses
761,3. 1 Ano
762,4. 2 Anos
763,2. Mais de 6 meses
764,2. Mais de 6 meses
765,2. Mais de 6 meses
766,1. Menos de 6 meses
767,3. 1 Ano
768,3. 1 Ano
769,3. 1 Ano
770,2. Mais de 6 meses
